Change%,Company,Company2,Price,Volume,Low,High
▼ -0.17%,ASIX,AdvanSix Inc,11.78,10334,11.67,11.78
▲ 3.20%,AEM,Agnico Eagle Mines Limited,74.1,697449,73.81,74.99
▲ 1.03%,APD,"Air Products and Chemicals, Inc",294.53,106142,292.53,294.94
▲ 3.61%,AGI,Alamos Gold Inc,11.345,1192514,11.335,11.52
▼ -1.60%,ALB,Albemarle Corporation,85.65,361808,83.93,86.02
▼ -0.51%,AA,Alcoa Corporation,12.685,1007544,12.535,12.75
▲ 4.95%,AXU,Alexco Resource Corp,2.97,1360447,2.97,3.07
▲ 3.47%,AAU,Almaden Minerals Ltd,0.6001,148345,0.6001,0.6001
▲ 2.48%,USAS,Americas Gold and Silver Corporation,3.515,1148558,3.505,3.65
▲ 8.92%,AMRS,"Amyris, Inc",4.64,767574,4.34,4.66
▲ 10.31%,AU,AngloGold Ashanti Limited,38.18,1770658,36.97,38.25
▲ 0.83%,MT,ArcelorMittal,11.565,697532,11.415,11.565
▲ 0.98%,ASH,Ashland Global Holdings Inc,78.57,18889,77.51,78.64
▲ 2.21%,AUG,Auryn Resources Inc,2.31,142266,2.31,2.31
▲ 2.68%,AVTR,"Avantor, Inc",18.975,607418,18.605,18.985
▲ 10.00%,ASM,Avino Silver & Gold Mines Ltd,1.1,2327195,1.07,1.125
▲ 2.09%,AXTA,Axalta Coating Systems Ltd,23.215,270904,22.745,23.255
▲ 4.29%,BTG,B2Gold Corp,6.81,2591597,6.75,6.895
▲ 0.35%,BCPC,Balchem Corporation,98.555,826,98.555,98.555
▲ 5.52%,GOLD,Barrick Gold Corporation,30.01,9788071,29.43,30.185
▲ 2.70%,BBL,BHP Group,45.005,173253,44.49,45.005
▲ 2.96%,BHP,BHP Group,54.165,488483,53.36,54.165
▲ 2.53%,BCC,Boise Cascade Company,46.69,21994,45.445,46.72
▲ 0.90%,CBT,Cabot Corporation,38.595,29875,37.11,38.595
▲ 1.80%,CE,Celanese Corporation,94.09,60382,92.24,94.2
▲ 7.24%,CX,"CEMEX, S.A.B. de C.V",3.035,3542360,2.92,3.08
▲ 1.74%,CENX,Century Aluminum Company,7.6,106295,7.48,7.6
▲ 2.78%,CF,"CF Industries Holdings, Inc",31.43,632948,30.6,31.62
▲ 1.94%,CLW,Clearwater Paper Corporation,37.76,7831,36.98,37.76
▲ 1.95%,CLF,Cleveland-Cliffs Inc,5.76,1354951,5.67,5.775
▲ 9.05%,CDE,"Coeur Mining, Inc",8.19,4482260,7.955,8.365
▲ 1.05%,CMC,Commercial Metals Company,20.635,143109,20.25,20.67
▲ 3.42%,SID,Companhia Siderurgica Nacional,2.265,142330,2.21,2.265
▲ 7.23%,BVN,Compania de Minas Buenaventura S.A.A,11.86,1324461,11.39,12.14
▲ 0.71%,CMP,"Compass Minerals International, Inc",52.3,35912,52.28,52.74
▲ 0.57%,CSTM,Constellium SE,8.87,51920,8.8,8.905
▲ 1.12%,CTVA,"Corteva, Inc",28.84,298863,28.495,28.98
▲ 1.15%,CRH,CRH plc,38.6,62448,38.315,38.6
▲ 1.04%,UAN,"CVR Partners, LP",0.97,39320,0.97,0.9793
▲ 0.21%,UFS,Domtar Corporation,21.975,36484,21.505,22
▲ 3.47%,DOW,Dow Inc,44.09,928111,42.55,44.245
▲ 7.36%,DRD,DRDGOLD Limited,17.79,379914,17.355,17.96
▲ 1.60%,DD,"DuPont de Nemours, Inc",55.425,525090,54.085,55.45
▲ 1.64%,EXP,Eagle Materials Inc,81.04,35105,79.165,81.04
▲ 2.15%,EMN,Eastman Chemical Company,78.285,106819,76.205,78.42
▲ 1.07%,ECL,Ecolab Inc,212.3,124317,208.835,212.49
▲ 2.71%,EGO,Eldorado Gold Corporation,12.305,1420287,12.29,12.59
▼ -0.05%,ESI,Element Solutions Inc,10.995,183809,10.93,11.03
▲ 10.00%,EXK,Endeavour Silver Corp,4.62,5104079,4.61,4.78
▲ 0.92%,EVA,"Enviva Partners, LP",37.925,4853,37.785,37.925
▲ 5.91%,EQX,Equinox Gold Corp,12.19,876072,11.97,12.25
▲ 2.45%,FOE,Ferro Corporation,12.13,21760,11.83,12.13
▼ -2.59%,GSM,Ferroglobe PLC,0.5162,207525,0.5111,0.5287
▲ 6.21%,AG,First Majestic Silver Corp,14.105,4638239,14.055,14.49
▲ 2.93%,FSI,Flexible Solutions International Inc,2.11,0,2.11,2.11
▲ 0.97%,FMC,FMC Corporation,108.38,44479,107.465,108.425
▲ 8.50%,FSM,Fortuna Silver Mines Inc,7.085,3109925,7.005,7.185
