Change%,Company,Company2,Price,Volume,Low,High
▲ 0.90%,TWOU,"2U, Inc",42.61,52018,42.6,42.97
▼ -1.49%,ACI,Albertsons Companies Inc. Class A,15.87,1612695,15.19,16.035
▲ 0.19%,MO,"Altria Group, Inc",41.93,466301,41.805,41.96
▲ 1.92%,ABEV,Ambev S.A,2.925,1961894,2.875,2.93
▼ -0.75%,BUD,Anheuser-Busch InBev SA/NV,54.12,231531,53.95,54.325
▲ 1.46%,AQB,"AquaBounty Technologies, Inc",3.815,3878,3.815,3.815
▼ -2.04%,ADM,Archer-Daniels-Midland Company,41.23,384281,40.85,41.55
▼ -0.83%,ARCE,Arco Platform Limited,45.13,3720,45.13,45.26
▲ 0.84%,ASPU,"Aspen Group, Inc",9.64,14506,9.64,9.64
▲ 1.87%,BRBR,BellRing Brands Inc Class A,19.09,18409,18.7,19.09
▼ -0.23%,BYND,"Beyond Meat, Inc",124.8,281449,124.675,126.475
▲ 0.69%,BGS,"B&G Foods, Inc",26.38,43623,26.38,26.48
▲ 0.16%,BIG,"Big Lots, Inc",42.53,76660,42.37,42.65
▲ 1.10%,BJ,"BJ's Wholesale Club Holdings, Inc",40.51,154677,40.25,40.86
▼ -1.65%,BRFS,BRF S.A,3.865,75248,3.865,3.88
0.00%,BEDU,Bright Scholar Education Holdings Limited,7.62,5308,7.62,7.63
▲ 0.46%,BTI,British American Tobacco p.l.c,34.76,183610,34.725,34.77
▲ 0.30%,BF.B,Brown-Forman Corporation,68.205,45912,67.745,68.205
▼ -1.05%,BG,Bunge Limited,43.865,105369,43.7,44.115
▲ 0.08%,CVGW,"Calavo Growers, Inc",60.69,679,60.35,60.69
▲ 0.19%,CALM,"Cal-Maine Foods, Inc",44.135,14045,43.83,44.35
▼ -0.32%,CPB,Campbell Soup Company,49.24,81417,49.22,49.49
▼ -0.17%,CASY,"Casey's General Stores, Inc",163.385,3852,163.15,163.385
▲ 0.64%,CELH,"Celsius Holdings, Inc",14.06,10178,14.06,14.06
▼ -0.09%,CENTA,Central Garden & Pet Company,33.44,2654,33.44,33.85
▲ 1.27%,CHGG,"Chegg, Inc",74.355,106447,74.26,74.93
▲ 0.31%,CHD,"Church & Dwight Co., Inc",86.14,57641,86.025,86.37
▼ -0.68%,CCEP,Coca-Cola European Partners plc,40.74,142811,40.71,40.9
