Change%,Company,Company2,Price,Volume,Low,High
▲ 0.49%,TXG,"10x Genomics, Inc",95.11,87762,94.34,95.955
▲ 0.31%,ONEM,1Life Healthcare Inc.,35.69,82072,35.405,35.95
▼ -2.41%,XXII,"22nd Century Group, Inc",0.8013,132986,0.8013,0.8142
▲ 0.74%,NMTR,9 Meters Biopharma Inc.,0.5178,77979,0.5178,0.5178
▲ 0.24%,ABT,Abbott Laboratories,99.185,548586,98.44,99.2
▼ -0.29%,ABBV,AbbVie Inc,96.83,574947,96.3,96.84
▲ 0.54%,ABMD,"Abiomed, Inc",294.53,27028,291.43,294.53
▼ -1.26%,ACHC,"Acadia Healthcare Company, Inc",28.54,8633,28.54,28.93
▲ 1.17%,ACAD,ACADIA Pharmaceuticals Inc,43.97,101510,43.73,44.06
▼ -2.56%,AXDX,"Accelerate Diagnostics, Inc",15.2,4408,15.2,15.28
▲ 0.08%,XLRN,Acceleron Pharma Inc,106.235,7394,105.96,106.9
▲ 7.20%,ACRX,"AcelRx Pharmaceuticals, Inc",1.265,374879,1.245,1.265
▲ 5.22%,ACIU,AC Immune SA,7.26,79039,6.93,7.26
▲ 0.84%,ACOR,"Acorda Therapeutics, Inc",0.7664,56212,0.7664,0.7776
▲ 16.15%,ATNM,"Actinium Pharmaceuticals, Inc",0.6178,16003711,0.599,0.63
▲ 0.38%,ADMS,"Adamas Pharmaceuticals, Inc",2.61,18487,2.61,2.61
▲ 4.76%,ADMP,Adamis Pharmaceuticals Corporation,1.1,702626,1.1,1.12
▲ 0.33%,ADPT,Adaptive Biotechnologies Corporation,36.45,60480,36.3,36.68
▲ 0.07%,ADUS,Addus HomeCare Corporation,93.44,578,93.44,93.44
▲ 3.37%,ADTX,ADiTx Therapeutics Inc.,4.145,45974,4.145,4.25
▲ 0.69%,ADMA,"ADMA Biologics, Inc",2.92,99449,2.92,2.95
▼ -1.34%,ADXS,"Advaxis, Inc",0.59,0,0.59,0.59
▲ 1.54%,ADVM,"Adverum Biotechnologies, Inc",17.475,13841,17.41,17.475
▲ 0.07%,AGLE,"Aeglea BioTherapeutics, Inc",7.245,8422,7.16,7.245
▲ 1.93%,AERI,"Aerie Pharmaceuticals, Inc",12.415,81042,12.29,12.52
▲ 1.52%,AFMD,Affimed N.V,4,71455,3.93,4
▼ -0.46%,AGEN,Agenus Inc,3.225,240494,3.175,3.225
▼ -2.26%,AGE,"AgeX Therapeutics, Inc",1.3,20739,1.3,1.3
▲ 0.64%,A,"Agilent Technologies, Inc",95.42,65996,94.98,95.56
▲ 1.73%,AGIO,"Agios Pharmaceuticals, Inc",51.68,3991,51.35,51.68
▲ 3.91%,AIM,AIM ImmunoTech Inc,3.19,724330,3.19,3.2
▲ 0.34%,AIMT,"Aimmune Therapeutics, Inc",14.57,40582,14.465,14.57
▼ -0.29%,AKCA,"Akcea Therapeutics, Inc",11.995,5302,11.87,12.05
▲ 1.70%,AKBA,"Akebia Therapeutics, Inc",11.96,48474,11.825,11.96
▲ 0.87%,ALBO,"Albireo Pharma, Inc",25.47,3930,25.47,25.47
▲ 2.04%,ALC,"Alcon, Inc",60.99,49634,60.705,60.99
▲ 4.06%,ALEC,"Alector, Inc",23.08,48677,22.77,23.11
▲ 3.04%,ALXN,"Alexion Pharmaceuticals, Inc",104.58,230541,102.465,104.58
▲ 0.15%,ALGN,"Align Technology, Inc",298.58,51814,295.405,298.58
▲ 1.11%,ALKS,Alkermes plc,20.01,33976,19.77,20.01
▲ 1.02%,ALLO,"Allogene Therapeutics, Inc",38.965,8398,38.75,39.16
▼ -1.42%,MDRX,"Allscripts Healthcare Solutions, Inc",6.93,57923,6.895,7.01
