Change%,Company,Company2,Price,Volume,Low,High
▲ 0.81%,MMM,3M Company,161.13,307226,159.51,161.48
▲ 2.17%,JOBS,"51job, Inc",67.92,5760,67.55,67.92
▲ 0.36%,AAON,"AAON, Inc",57.845,4720,57.63,57.845
▲ 0.92%,AIR,AAR Corp,18.155,33437,18.03,18.155
▲ 2.05%,AAN,"Aaron's, Inc",45.615,26066,44.76,45.82
▲ 0.84%,ABB,ABB Ltd,25.955,96448,25.94,25.955
▲ 0.17%,ABM,ABM Industries Incorporated,34.4,26472,34.26,34.4
▼ -1.47%,ACTG,Acacia Research Corporation,4.01,0,4.01,4.01
▼ -0.15%,ACCO,ACCO Brands Corporation,6.73,19669,6.62,6.73
▼ -0.73%,EPAC,Actuant Corporation Class A,19.1,12937,19.1,19.12
▼ -0.57%,ADT,ADT Inc,7.915,44606,7.895,7.94
▲ 0.05%,ADSW,"Advanced Disposal Services, Inc",30.175,35890,30.165,30.175
▼ -0.12%,WMS,"Advanced Drainage Systems, Inc",48.58,3369,48.09,48.58
▲ 2.17%,AEIS,"Advanced Energy Industries, Inc",70.12,5321,70.12,70.12
▼ -1.59%,ACM,AECOM,36.01,53158,35.9,36.27
▼ -1.71%,AEGN,Aegion Corporation,15.765,3253,15.69,15.765
▼ -2.23%,AER,AerCap Holdings N.V,27.6,58651,27.505,27.935
▼ -0.91%,AJRD,"Aerojet Rocketdyne Holdings, Inc",36.95,16682,36.87,36.95
▲ 1.13%,AVAV,"AeroVironment, Inc",76.14,0,76.14,76.14
▼ -1.43%,AGCO,AGCO Corporation,62.495,5926,62.495,62.72
▼ -0.90%,UAVS,"AgEagle Aerial Systems, Inc",3.3,1152410,3.24,3.3
▼ -2.04%,AL,Air Lease Corporation,25.99,51770,25.83,26.31
▼ -0.02%,ATSG,"Air Transport Services Group, Inc",23.995,6169,23.995,23.995
▲ 0.40%,ALK,"Alaska Air Group, Inc",35.2,207164,34.81,35.26
▼ -1.65%,ATI,Allegheny Technologies Incorporated,9.225,153924,9.13,9.435
▲ 1.36%,ALGT,Allegiant Travel Company,115.125,7644,115.125,115.555
▲ 0.07%,ALLE,Allegion plc,101.09,14269,100.65,101.145
▲ 1.66%,APT,"Alpha Pro Tech, Ltd",22.11,139332,21.97,22.225
▲ 1.71%,ALTG,Alta Equipment Group Inc.,7.75,5521,7.75,7.75
▲ 0.01%,AIMC,Altra Industrial Motion Corp,34.555,15445,34.53,34.62
▲ 0.78%,AMRC,"Ameresco, Inc",28.31,2983,28.31,28.31
▲ 2.94%,AAL,American Airlines Group Inc,11.725,9997184,11.48,11.735
