Change%,Company,Company2,Price,Volume,Low,High
▲ 1.59%,VNET,"21Vianet Group, Inc",22.35,69845,22.015,22.43
▼ -0.08%,DDD,3D Systems Corporation,6.585,122097,6.53,6.595
▲ 0.96%,EGHT,"8x8, Inc",16.265,45460,16.18,16.305
▲ 1.34%,ATEN,"A10 Networks, Inc",7.205,12950,7.2,7.205
▲ 0.22%,ACIA,"Acacia Communications, Inc",67.75,9099,67.65,67.81
▲ 0.49%,ACN,Accenture plc,222.535,110227,221.23,222.535
▲ 4.50%,ACMR,"ACM Research, Inc",88.85,24655,88.515,88.85
▲ 1.50%,ADBE,Adobe Inc,436.78,193497,431.72,436.78
▲ 0.63%,ADTN,"ADTRAN, Inc",12.68,9468,12.595,12.705
▲ 0.92%,AMD,"Advanced Micro Devices, Inc",70.04,23676705,69.31,71.61
▲ 1.10%,AGYS,"Agilysys, Inc",17.935,465,17.935,17.935
▲ 1.18%,AIRG,"Airgain, Inc",13.305,11046,13.25,13.305
▲ 0.47%,AKAM,"Akamai Technologies, Inc",112.26,90089,112.26,112.68
▲ 1.76%,AKTS,"Akoustis Technologies, Inc",8.09,47702,8.09,8.09
▼ -0.26%,ALRM,"Alarm.com Holdings, Inc",67.625,34097,67.6,68.29
▼ -0.44%,AMOT,Allied Motion Technologies Inc,36,3106,35.905,36
▲ 0.56%,ALLT,Allot Ltd,11.735,6488,11.735,11.785
▲ 2.38%,ALTR,Altair Engineering Inc,39.1,5635,38.79,39.1
▲ 1.91%,AYX,"Alteryx, Inc",165.7,90260,165.04,165.7
▼ -0.27%,AMBA,"Ambarella, Inc",44.46,113171,44.31,45.16
▲ 0.74%,DOX,Amdocs Limited,60.965,30532,60.88,60.975
▼ -1.10%,AMRH,"AMERI Holdings, Inc",1.79,22829,1.79,1.79
▲ 7.62%,AMKR,"Amkor Technology, Inc",12.995,225566,12.235,12.995
▲ 0.37%,APH,Amphenol Corporation,104.78,89307,104.08,105.005
▲ 2.25%,ADI,"Analog Devices, Inc",114.74,395626,113,114.79
▲ 0.23%,PLAN,"Anaplan, Inc",44.08,111711,43.85,44.23
▲ 0.73%,ANSS,"ANSYS, Inc",295.64,13145,295.47,296.04
▲ 0.97%,APPF,"AppFolio, Inc",139.155,2313,139.155,139.155
