Change%,Company,Company2,Price,Volume,Low,High
▲ 0.25%,WUBA,58.com Inc,55.06,775943,54.66,55.15
▲ 0.48%,ATVI,"Activision Blizzard, Inc",79.99,4273205,78.12,80.745
▼ -1.23%,AHC,A.H. Belo Corporation,1.61,29440,1.61,1.71
▲ 1.21%,ANTE,AirNet Technology Inc,0.8603,72676,0.8316,0.92
▲ 1.73%,SONG,Akazoo S.A,117.5,1974901,115.5,117.5
▼ -0.43%,ALSK,"Alaska Communications Systems Group, Inc",2.33,270999,2.26,2.345
▲ 11.71%,AESE,Allied Esports Entertainment Inc,2.29,1159861,2.05,2.44
▼ -0.25%,GOOG,Alphabet Inc,1511.87,1468795,1488.4,1517.6362
▼ -0.56%,GOOGL,Alphabet Inc,1508.21,1495381,1487.84,1515.4272
▼ -0.12%,ATUS,"Altice USA, Inc",24.09,5450200,23.92,24.22
▼ -1.48%,AMC,"AMC Entertainment Holdings, Inc",4,3281400,3.96,4.18
▼ -0.12%,AMCX,AMC Networks Inc,24.87,471524,24.73,25.74
▼ -1.81%,AMOV,"America Movil, S.A.B. de C.V",13.01,460,12.93,13.01
▼ -2.45%,AMX,"America Movil, S.A.B. de C.V",13.15,2766167,13.14,13.47
▼ -1.09%,ANGI,ANGI Homeservices Inc,14.58,4685924,14.38,14.86
▼ -0.05%,ATEX,Anterix Inc,42.15,58007,41.68,42.645
▼ -1.29%,ATNI,"ATN International, Inc",57.3,17900,56.75,57.81
▼ -1.10%,T,AT&T Inc,29.57,38357176,29.46,30.21
▲ 2.40%,ATHM,Autohome Inc,77.76,663983,74.96,78.935
▼ -10.46%,AUTO,"AutoWeb, Inc",1.37,183900,1.35,1.52
▲ 0.49%,AVID,"Avid Technology, Inc",8.26,289087,8.02,8.32
▼ -1.72%,BIDU,"Baidu, Inc",119.02,2667055,116.39,119.06
0.00%,BCE,BCE Inc,41.62,879788,41.47,41.81
▲ 1.49%,BCOM,B Communications Ltd,2.05,3027,2.01,2.06
▲ 1.02%,BBGI,"Beasley Broadcast Group, Inc",1.99,81300,1.86,1.99
▼ -2.20%,BILI,Bilibili Inc,40.1,5854655,38.54,40.32
▼ -0.19%,BITA,Bitauto Holdings Limited,15.85,348423,15.82,15.88
▼ -1.18%,WIFI,"Boingo Wireless, Inc",14.29,1591147,13.98,15.8
▼ -1.18%,BOMN,Boston Omaha Corporation,15.91,62700,15.84,16.165
▲ 1.33%,CABO,"Cable One, Inc",1797.54,17000,1768.5,1811.51
▼ -1.55%,CANG,Cango Inc,5.07,10888,5.03,5.19
▼ -2.63%,CDLX,"Cardlytics, Inc",67.7,458300,67,70.39
▲ 0.44%,CARG,"CarGurus, Inc",25.18,996400,24.29,25.27
▼ -1.55%,CEL,Cellcom Israel Ltd,3.81,17459,3.77,3.84
▼ -0.77%,CETV,Central European Media Enterprises Ltd,3.86,189500,3.86,3.93
▲ 1.00%,CTL,"CenturyLink, Inc",10.09,11647300,9.86,10.12
▲ 0.23%,CHTR,"Charter Communications, Inc",561.72,568066,554.36,562.97
▲ 0.77%,CSSE,"Chicken Soup for the Soul Entertainment, Inc",9.12,8194,8.83,9.1857
▲ 1.00%,CHL,China Mobile Limited,34.37,820200,34.25,34.48
▼ -2.52%,CNET,"ChinaNet Online Holdings, Inc",1.16,141758,1.15,1.21
▲ 2.50%,CHA,China Telecom Corporation Limited,29.54,65959,29.19,29.62
0.00%,CHU,China Unicom (Hong Kong) Limited,5.61,381949,5.58,5.64
▲ 0.19%,CHT,"Chunghwa Telecom Co., Ltd",36.72,540474,36.51,37
▼ -1.82%,CMPR,Cimpress N.V,79.18,116377,78.54,81.09
0.00%,CBB,Cincinnati Bell Inc,14.92,205303,14.87,14.93
▼ -0.60%,CIDM,Cinedigm Corp,1.67,2776320,1.66,1.78
▼ -2.86%,CNK,"Cinemark Holdings, Inc",12.21,3150700,12,12.54
▼ -2.91%,CCO,"Clear Channel Outdoor Holdings, Inc",0.92,2514826,0.9149,0.965
▼ -1.14%,CCOI,"Cogent Communications Holdings, Inc",83.43,158300,82.32,84.18
▲ 2.02%,CMCSA,Comcast Corporation,43.35,21612403,42.705,43.85
▼ -4.32%,SCOR,"comScore, Inc",3.1,103800,3.08,3.33
▼ -1.80%,CNSL,"Consolidated Communications Holdings, Inc",5.99,362516,5.92,6.14
▲ 4.36%,CRTO,Criteo S.A,13.17,1222147,12.41,13.42
▲ 1.02%,CMLS,Cumulus Media Inc,3.98,86440,3.85,3.99
▲ 1.24%,DJCO,Daily Journal Corporation,285,592,282,285
▼ -4.18%,DLX,Deluxe Corporation,20.63,205829,20.515,21.88
▼ -2.12%,DISCB,"Discovery, Inc",37.83,244,37.83,37.83
▼ -0.94%,DISCA,"Discovery, Inc",21.15,2344200,20.86,21.69
▼ -0.89%,DISCK,"Discovery, Inc",18.93,1152900,18.68,19.43
▼ -0.12%,DISH,DISH Network Corporation,33.36,1177633,33.1,33.61
▼ -0.76%,DLB,"Dolby Laboratories, Inc",68.01,288700,67.4,68.38
▼ -2.11%,DLPN,"Dolphin Entertainment, Inc",0.93,3555900,0.91,1.01
▼ -1.20%,DOYU,DouYu International Holdings Limited,11.48,2398112,10.88,11.59
▼ -2.07%,EDUC,Educational Development Corporation,14.17,30134,14.16,14.5
▼ -0.09%,EA,Electronic Arts Inc,135.24,1354100,132.72,136.26
▲ 2.16%,EEX,"Emerald Expositions Events, Inc",2.84,276800,2.64,2.89
▲ 0.66%,EMMS,Emmis Communications Corporation,1.52,994,1.52,1.52
▼ -3.31%,ETM,Entercom Communications Corp,1.46,843800,1.44,1.58
▼ -5.92%,EVC,Entravision Communications Corporation,1.43,171775,1.43,1.5351
▼ -1.13%,EROS,Eros International Plc,3.49,1649600,3.42,3.54
▼ -0.68%,EVER,"EverQuote, Inc",47.96,378521,46.24,48.5
▼ -0.81%,FB,"Facebook, Inc",230.71,18325813,226.9,233.49
▼ -3.83%,SFUN,Fang Holdings Limited,11.54,9937,11.3,12.18
▼ -1.34%,FVRR,Fiverr International Ltd,80.69,457399,76.195,81.595
▼ -0.52%,FLNT,"Fluent, Inc",1.9,123169,1.87,1.93
▲ 0.06%,FWONA,Formula One Group,32.91,50700,32.47,33.02
▲ 0.46%,FWONK,Formula One Group,35.08,839800,34.42,35.19
▲ 1.60%,FOXA,Fox Corporation,26.66,4103507,26.32,27.38
