Change%,Company,Company2,Price,Volume,Low,High
▼ -0.55%,FLWS,"1-800-FLOWERS.COM, Inc",25.16,336325,24.92,25.42
▲ 2.43%,WBAI,500.com Limited,3.8,43019,3.6,3.92
▼ -3.72%,ANF,Abercrombie & Fitch Co,9.84,2135104,9.83,10.43
▼ -0.11%,ACEL,Accel Entertainment Inc Class A,8.8,204967,8.59,8.84
▼ -2.78%,ATV,"Acorn International, Inc",16.5,1479,16.5,17.02
▼ -1.14%,GOLF,Acushnet Holdings Corp,37.21,159000,37.14,37.56
▼ -1.32%,ADNT,Adient plc,17.89,430500,17.75,18.09
▼ -0.74%,AAP,"Advance Auto Parts, Inc",147.27,755800,147.08,149.77
▼ -0.52%,AIN,Albany International Corp,51.97,153090,51.69,52.8734
▼ -1.14%,BABA,Alibaba Group Holding Limited,249,15285366,241.89,249.48
▼ -1.32%,ALSN,"Allison Transmission Holdings, Inc",38.05,480800,37.87,38.57
▲ 0.75%,AMZN,"Amazon.com, Inc",3008.9099,5625900,2888,3031.5801
▼ -0.65%,AMCR,Amcor plc,10.67,5219374,10.6,10.78
▼ -3.48%,AXL,"American Axle & Manufacturing Holdings, Inc",7.49,982290,7.445,7.79
▼ -4.55%,AEO,"American Eagle Outfitters, Inc",9.66,5332100,9.65,10.15
▼ -0.88%,AMWD,American Woodmark Corporation,76.86,92745,76.43,78.51
▼ -3.92%,CRMT,"America's Car-Mart, Inc",98.66,54704,96.24,103.89
▼ -0.69%,APEX,Apex Global Brands Inc,0.6952,1284328,0.6501,0.7698
▲ 0.35%,ATR,"AptarGroup, Inc",118.85,242719,118.38,119.785
▼ -0.10%,APTV,Aptiv PLC,82.25,1243200,80.77,83.16
▼ -2.33%,ARMK,Aramark,22.66,1595000,22.54,23.25
▲ 0.17%,FUV,"Arcimoto, Inc",5.89,580226,5.38,5.95
▲ 1.02%,ARCO,Arcos Dorados Holdings Inc,4.96,595353,4.77,5
▲ 3.45%,ARD,Ardagh Group S.A,14.39,66700,14.06,14.53
▼ -0.09%,ARKR,Ark Restaurants Corp,10.68,7606,10.3688,11.56
▼ -1.48%,ABG,"Asbury Automotive Group, Inc",104.58,329980,102.47,105.625
▲ 119.76%,ASNA,"Ascena Retail Group, Inc",1.29,59429356,0.61,1.45
▲ 4.47%,HOME,At Home Group Inc,8.64,3344855,8.11,9.34
▼ -0.48%,ALV,"Autoliv, Inc",68.49,274472,67.79,69.09
▲ 4.09%,AN,"AutoNation, Inc",54.7,1570228,52.89,54.92
▲ 0.01%,AZO,"AutoZone, Inc",1168.59,123231,1162.05,1178.5499
▼ -5.64%,AYRO,AYRO Inc.,4.52,1426800,4.4,4.63
▼ -5.29%,BTN,"Ballantyne Strong, Inc",1.61,17200,1.6,1.71
▲ 0.23%,BLL,Ball Corporation,73.16,1470263,72.785,73.78
▼ -0.68%,BZUN,Baozun Inc,37.81,978200,36.31,38.65
▼ -2.31%,BNED,"Barnes & Noble Education, Inc",2.11,367500,2.05,2.145
▼ -1.25%,BSET,"Bassett Furniture Industries, Incorporated",7.92,57900,7.88,8.12
▲ 2.23%,BBQ,"BBQ Holdings, Inc",3.21,2711,3.2001,3.25
▼ -3.05%,BBX,BBX Capital Corporation,14.64,50400,14.06,14.9
▼ -2.90%,BZH,"Beazer Homes USA, Inc",11.03,447215,11,11.48
▼ -0.25%,BBBY,Bed Bath & Beyond Inc,10.14,5978240,9.89,10.31
▼ -0.31%,BERY,"Berry Global Group, Inc",47.86,1203300,47.08,48.09
▲ 0.95%,BBY,"Best Buy Co., Inc",96.99,2040076,95.55,97.745
0.00%,BWMX,Betterware de Mexico S.A. de C.V,9.2,0,9.2,9.2
▲ 9.98%,BGFV,Big 5 Sporting Goods Corporation,4.41,1701783,3.82,4.458
▲ 0.92%,BH,Biglari Holdings Inc,62.77,6658,60.96,63.48
▼ -7.62%,BH.A,Biglari Holdings Inc,315,190,315,331.84
▲ 2.00%,BGI,Birks Group Inc,0.9588,78355,0.91,0.9648
▲ 10.21%,BJRI,"BJ's Restaurants, Inc",20.94,1726923,19.04,21.005
▼ -5.08%,BLNK,Blink Charging Co,6.73,2219800,6.53,7.03
▲ 7.43%,BLMN,"Bloomin' Brands, Inc",11.56,8297300,10.56,11.81
▼ -4.40%,APRN,"Blue Apron Holdings, Inc",13.04,786280,12.63,13.34
▼ -1.23%,BLBD,Blue Bird Corporation,12.82,127400,12.73,13.03
▲ 2.36%,BXG,Bluegreen Vacations Corporation,6.5,253900,6.3,7.25
▲ 0.34%,BKNG,Booking Holdings Inc,1701.3,324900,1671.97,1709.24
▼ -4.70%,BOOT,"Boot Barn Holdings, Inc",18.86,533387,18.85,19.79
▼ -0.96%,BWA,BorgWarner Inc,38.36,1427600,38.03,38.69
▲ 1.46%,BYD,Boyd Gaming Corporation,22.2,2955837,21.235,22.28
▲ 0.29%,BFAM,Bright Horizons Family Solutions Inc,110.97,266116,109.635,111.76
▲ 3.24%,EAT,"Brinker International, Inc",26.44,1769434,25.01,26.63
▼ -0.59%,DOOO,BRP Inc,42.2,59100,41.26,43.1
▼ -0.53%,BC,Brunswick Corporation,67.07,600400,66.01,67.3
▼ -1.31%,BBW,"Build-A-Bear Workshop, Inc",2.26,105015,2.23,2.33
▼ -0.32%,BURL,"Burlington Stores, Inc",186.92,545391,185.97,189.19
▼ -7.74%,CZR,Caesars Entertainment Corporation,33.75,9136602,33.63,36.2
▼ -5.18%,CAL,"Caleres, Inc",7.32,453100,7.31,7.86
▼ -2.13%,ELY,Callaway Golf Company,17.89,1881900,17.52,18.2
▼ -1.68%,CWH,"Camping World Holdings, Inc",35.09,1035426,34.6134,36.5998
▲ 0.04%,GOOS,Canada Goose Holdings Inc,23.21,817600,22.737,23.51
▼ -3.08%,CNNE,"Cannae Holdings, Inc",37.46,726200,37.26,38.56
▼ -1.40%,CPHC,Canterbury Park Holding Corporation,10.55,406,10.55,10.55
▼ -3.12%,CPRI,Capri Holdings Limited,15.2,5202018,15.05,15.8
▼ -0.33%,KMX,"CarMax, Inc",97.46,927154,96.5116,98.26
▼ -0.81%,CUK,Carnival Corporation & Plc,12.22,1289893,12.02,12.51
0.00%,CCL,Carnival Corporation & Plc,14.8,26585727,14.46,15.35
▼ -2.58%,CSV,"Carriage Services, Inc",18.9,66952,18.77,19.63
▲ 3.92%,TAST,"Carrols Restaurant Group, Inc",5.3,739795,5.04,5.46
▼ -1.74%,CARS,Cars.com Inc,6.21,700229,6.09,6.3999
▲ 4.79%,CRI,"Carter's, Inc",89.55,1123600,88.29,91.89
▲ 0.28%,CVNA,Carvana Co,148.36,1247400,142.56,149.19
▼ -1.21%,CSPR,Casper Sleep Inc,7.36,95437,7.3,7.54
▼ -0.78%,CVCO,"Cavco Industries, Inc",186.09,25132,180.61,189.1625
▼ -1.38%,FUN,"Cedar Fair, L.P",27.11,836284,26.72,27.54
▼ -0.96%,CNTY,"Century Casinos, Inc",4.12,346900,4.05,4.27
▲ 0.68%,CCS,"Century Communities, Inc",35.35,538581,33.795,35.84
▼ -0.79%,CTHR,"Charles & Colvard, Ltd",0.7243,84611,0.72,0.7469
▼ -3.28%,CHWY,"Chewy, Inc",45.96,3223295,45.25,46.78
▼ -7.04%,CHS,"Chico's FAS, Inc",1.32,913564,1.32,1.44
▲ 0.37%,CAAS,"China Automotive Systems, Inc",2.69,49734,2.61,2.71
▲ 0.87%,CXDC,China XD Plastics Company Limited,1.16,72975,1.15,1.17
▲ 0.82%,CMG,"Chipotle Mexican Grill, Inc",1130.26,407409,1094.925,1131.485
▼ -1.00%,CHH,"Choice Hotels International, Inc",85.98,273572,84.81,86.99
▲ 1.00%,CHDN,Churchill Downs Incorporated,132.96,189900,129.85,133.62
▲ 3.42%,CHUY,"Chuy's Holdings, Inc",14.5,143029,13.81,14.52
▼ -2.87%,CTRN,"Citi Trends, Inc",17.405,130045,17.2,17.95
▲ 4.44%,CLAR,Clarus Corporation,11.75,340172,11.62,11.88
▼ -1.40%,COLM,Columbia Sportswear Company,80.41,241682,80.225,82.57
0.00%,CVGI,"Commercial Vehicle Group, Inc",2.35,180388,2.26,2.35
▲ 1.34%,CBD,Companhia Brasileira de Distribuicao,14.34,211785,13.935,14.39
▼ -1.85%,CONN,"Conn's, Inc",10.07,223797,10.01,10.45
▼ -1.82%,AWSM,"Cool Holdings, Inc",0.0972,157514,0.09,0.0999
▼ -1.89%,CPS,Cooper-Standard Holdings Inc,11.94,129699,11.7382,12.19
▼ -1.34%,CTB,Cooper Tire & Rubber Company,30.88,237800,30.72,31.29
▲ 2.33%,CBRL,"Cracker Barrel Old Country Store, Inc",109.33,403555,106.43,110
▼ -0.92%,CROX,"Crocs, Inc",35.63,741862,35.1676,36.415
▲ 0.43%,CRWS,"Crown Crafts, Inc",4.68,18407,4.68,4.83
▼ -0.25%,CCK,"Crown Holdings, Inc",70.7,963600,70.18,71.14
▼ -5.40%,CTIB,CTI Industries Corporation,2.63,286300,2.55,2.72
▲ 1.10%,CULP,"Culp, Inc",10.07,57197,9.77,10.13
