Change%,Company,Company2,Price,Volume,Low,High
▲ 2.55%,QFIN,"360 Finance, Inc",13.485,91110,13.22,13.61
▼ -0.66%,AEG,Aegon N.V,3.02,144732,3.02,3.02
▼ -1.52%,AMG,"Affiliated Managers Group, Inc",69.16,23936,69.015,69.97
▼ -1.77%,AFL,Aflac Incorporated,36.12,139657,36.08,36.64
▼ -0.67%,ABTX,"Allegiance Bancshares, Inc",23.82,532,23.82,23.82
▼ -1.75%,ADS,Alliance Data Systems Corporation,43.635,73009,43.085,43.865
▼ -3.21%,ALLY,Ally Financial Inc,20.5,590366,20.5,20.91
▲ 0.41%,AMBC,"Ambac Financial Group, Inc",13.515,0,13.515,13.515
▼ -0.43%,AEL,American Equity Investment Life Holding Company,25.47,71442,25.42,25.55
▼ -1.34%,AXP,American Express Company,94.055,388007,93.72,95.54
▼ -2.62%,AFG,"American Financial Group, Inc",60.28,27072,59.98,60.57
▼ -2.43%,AIG,"American International Group, Inc",30.55,595825,30.44,31.12
▼ -0.22%,AMNB,American National Bankshares Inc,23.01,0,23.01,23.01
▼ -0.78%,ANAT,American National Insurance Company,72.55,2310,72.55,72.55
▼ -1.54%,AMP,"Ameriprise Financial, Inc",152.87,27997,152.31,154.54
▼ -0.38%,AMSF,"Amerisafe, Inc",63.36,611,63.36,64.755
▼ -1.25%,ABCB,Ameris Bancorp,22.89,24833,22.77,22.98
▼ -0.43%,AON,Aon plc,206.155,154999,205.625,207.035
▼ -1.27%,APO,"Apollo Global Management, Inc",51.36,9494,51.36,51.87
▼ -2.93%,ACGL,Arch Capital Group Ltd,29.945,123533,29.88,30.65
▼ -0.11%,ARCC,Ares Capital Corporation,13.755,154188,13.715,13.81
▼ -0.06%,ARES,Ares Management Corporation,39.015,13875,38.995,39.065
▼ -0.91%,ARGO,"Argo Group International Holdings, Ltd",33.93,8965,33.93,33.965
▼ -0.65%,AJG,Arthur J. Gallagher & Co,103.25,17761,103.25,103.69
▼ -0.30%,APAM,Artisan Partners Asset Management Inc,33.44,10830,33.425,33.44
▲ 6.41%,ASA,ASA Gold and Precious Metals Limited,23.75,41043,23.425,23.83
▼ -0.93%,AMK,"AssetMark Financial Holdings, Inc",27.265,1049,27.265,27.67
▼ -2.22%,ASB,Associated Banc-Corp,13.455,72378,13.38,13.545
▼ -1.83%,AIZ,"Assurant, Inc",104.84,19132,104.84,106.25
▼ -0.47%,AGO,Assured Guaranty Ltd,23.38,43606,23.29,23.47
▼ -3.74%,ATH,Athene Holding Ltd,32.14,83298,32.01,32.66
▲ 1.66%,AAME,Atlantic American Corporation,1.84,201,1.84,1.84
▼ -3.10%,AUB,Atlantic Union Bankshares Corporation,22.85,12201,22.85,23.03
▲ 0.14%,ATCO,Atlas Corp.,7.28,12535,7.28,7.28
▼ -2.17%,EQH,"AXA Equitable Holdings, Inc",19.86,69859,19.77,20.225
▼ -2.00%,AXS,AXIS Capital Holdings Limited,40.09,20884,40.09,40.465
▲ 0.21%,BCSF,"Bain Capital Specialty Finance, Inc",9.63,9935,9.63,9.63
▼ -2.11%,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A",3.485,356474,3.485,3.485
▲ 1.74%,BBD,Banco Bradesco S.A,4.375,2857895,4.345,4.395
▲ 2.10%,BCH,Banco de Chile,19.43,30629,19.385,19.43
▼ -1.55%,BANC,"Banc of California, Inc",10.82,8233,10.82,10.82
▼ -2.61%,BXS,BancorpSouth Bank,21.485,8685,21.485,21.9
▼ -0.09%,BSBR,Banco Santander (Brasil) S.A,5.595,92095,5.575,5.605
▲ 0.53%,BSAC,Banco Santander-Chile,17,20196,16.975,17.01
▼ -0.77%,BSMX,"Banco Santander Mexico, S.A., Institucion de Banca Multiple, Grupo Financiero Santander Mexico",3.225,74678,3.225,3.225
▼ -1.25%,SAN,"Banco Santander, S.A",2.37,2025570,2.37,2.375
▼ -1.44%,BAC,Bank of America Corporation,24,8751291,23.885,24.21
▼ -4.46%,BOH,Bank of Hawaii Corporation,56.54,38981,56.36,59.94
▼ -1.15%,BMO,Bank of Montreal,54.3,47614,54.3,54.59
▼ -3.91%,OZK,Bank OZK,23.37,106191,23.31,23.86
▼ -2.03%,BKU,"BankUnited, Inc",18.36,14750,18.36,18.36
▼ -3.06%,BANR,Banner Corporation,35.645,12092,35.645,35.785
▼ -1.13%,BCS,Barclays PLC,5.695,234918,5.685,5.695
▲ 0.92%,MPV,Barings Participation Investors,12.06,0,12.06,12.06
▼ -1.32%,BRK.B,Berkshire Hathaway Inc,191.955,610304,191.81,193.79
▼ -1.07%,BHLB,"Berkshire Hills Bancorp, Inc",10.675,2585,10.675,10.69
▼ -2.36%,BGCP,"BGC Partners, Inc",2.695,100542,2.685,2.735
▲ 0.71%,BGR,BlackRock Energy and Resources Trust,7.13,10118,7.13,7.13
▼ -0.72%,BLK,"BlackRock, Inc",566.505,44775,565.17,569.79
▲ 0.08%,BKT,"BlackRock Income Trust, Inc",6.135,20894,6.135,6.135
▲ 0.22%,BNY,BlackRock New York Municipal Income Trust,13.91,1176,13.91,13.91
▼ -0.44%,BCOR,"Blucora, Inc",11.31,14683,11.29,11.4
