Change%,Company,Company2,Price,Volume,Low,High
▼ -0.04%,AQN,Algonquin Power & Utilities Corp,13.245,21621,13.21,13.245
▼ -1.49%,ALE,"ALLETE, Inc",58,11909,58,58.635
▼ -0.81%,LNT,Alliant Energy Corporation,52.69,72973,52.655,53.02
▼ -0.84%,AEE,Ameren Corporation,78.85,64459,78.72,79.385
▼ -6.25%,AEP,"American Electric Power Company, Inc",82.55,1923316,82.05,87.3
▼ -0.72%,AWR,American States Water Company,79.62,7654,79.62,79.62
▲ 0.09%,AWK,"American Water Works Company, Inc",144.645,77478,144.22,145.78
▼ -0.64%,ARTNA,Artesian Resources Corporation,35.91,0,35.91,35.91
▲ 0.95%,AY,Atlantica Yield plc,29.9,8962,29.875,29.94
▼ -0.25%,ATO,Atmos Energy Corporation,102.74,24103,102.645,102.82
▼ -1.63%,AGR,"Avangrid, Inc",48.17,17292,48.17,48.41
▼ -0.48%,AVA,Avista Corporation,37.19,4590,37.13,37.48
▼ -0.65%,BKH,Black Hills Corporation,60.185,21620,60.16,60.185
▼ -0.61%,CWT,California Water Service Group,49.415,3941,49.415,49.415
▼ -1.34%,CNP,"CenterPoint Energy, Inc",19.475,909648,19.435,19.7
▼ -0.48%,EBR,Centrais Eletricas Brasileiras S.A. - Eletrobras,7.235,47884,7.235,7.33
▼ -3.86%,CREG,China Recycling Energy Corporation,2.74,2622,2.74,2.74
▼ -0.08%,CWEN,"Clearway Energy, Inc",24.14,15383,24.14,24.32
▼ -1.14%,CMS,CMS Energy Corporation,62.805,92583,62.805,63.17
▲ 0.47%,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,11.765,47410,11.73,11.78
▲ 0.43%,CIG,Companhia Energetica de Minas Gerais,2.34,702251,2.34,2.35
▲ 1.17%,ELP,Companhia Paranaense de Energia - COPEL,12.14,38376,12.12,12.17
▼ -1.57%,ED,"Consolidated Edison, Inc",74.39,93807,74.265,75.265
▲ 2.22%,CWCO,Consolidated Water Co. Ltd,12.45,0,12.45,12.45
▼ -0.03%,D,"Dominion Energy, Inc",80.385,485524,80.205,81.19
▼ -0.10%,DTE,DTE Energy Company,114.455,58750,114.005,114.55
▼ -0.97%,DUK,Duke Energy Corporation,81.99,381366,81.91,82.51
▼ -2.64%,EIX,Edison International,54.54,176583,54.525,55.85
▲ 0.54%,EE,El Paso Electric Company,68.42,573954,68.39,68.42
▲ 0.07%,ENIA,Enel Americas S.A,7.685,31705,7.67,7.705
▼ -1.54%,ETR,Entergy Corporation,101.04,55036,101.04,101.935
▼ -0.38%,WTRG,Essential Utilities Inc.,45.525,14673,45.4,45.535
▼ -1.48%,EVRG,"Evergy, Inc",63.115,113784,63.09,63.955
▼ -0.80%,ES,Eversource Energy,88.765,53728,88.765,89.28
▼ -0.91%,EXC,Exelon Corporation,37.455,690624,37.31,37.92
▲ 1.02%,FE,FirstEnergy Corp,29.78,2531678,29.605,30.335
▲ 0.69%,FTS,Fortis Inc,39.41,26041,39.24,39.41
▼ -0.72%,HE,"Hawaiian Electric Industries, Inc",36.705,8461,36.705,36.705
▼ -0.02%,IDA,"IDACORP, Inc",92.98,2593,92.895,92.98
▼ -3.50%,JE,Just Energy Group Inc,0.4001,1150754,0.4001,0.4001
▲ 1.27%,NGG,National Grid plc,58.11,53437,58.11,58.25
▼ -1.48%,NJR,New Jersey Resources Corporation,31.045,17317,31.04,31.055
▼ -0.32%,NEE,"NextEra Energy, Inc",279.36,133481,278.92,281.44
▲ 0.46%,NEP,"NextEra Energy Partners, LP",60.195,76582,60.03,60.28
▼ -1.53%,NI,NiSource Inc,24.165,92883,24.165,24.46
▼ -1.02%,NWE,NorthWestern Corporation,54.23,7411,54.07,54.535
▼ -1.81%,NWN,Northwest Natural Holding Company,52.57,4558,52.57,52.57
▲ 3.47%,NRG,"NRG Energy, Inc",35.375,397632,34.39,35.395
▼ -1.41%,OGE,OGE Energy Corp,32.505,70615,32.505,32.74
▼ -0.78%,OGS,"ONE Gas, Inc",76.65,2480,76.65,76.755
▼ -2.03%,ORA,"Ormat Technologies, Inc",61.15,26189,61.15,61.79
▼ -0.90%,OTTR,Otter Tail Corporation,38.4,3587,38.4,38.54
▼ -1.22%,PAM,Pampa Energia S.A,12.13,9981,12.13,12.13
▲ 0.48%,PCG,PG&E Corporation,9.405,4103109,9.385,9.575
▼ -1.91%,PNW,Pinnacle West Capital Corporation,79.825,36021,79.825,81.03
▼ -1.35%,PNM,"PNM Resources, Inc",40.665,9283,40.665,40.78
▼ -1.53%,POR,Portland General Electric Company,43.2,13588,43.2,43.2
▼ -1.65%,PPL,PPL Corporation,25.285,386484,25.255,25.565
▼ -1.24%,PEG,Public Service Enterprise Group Incorporated,51.62,90859,51.62,52.14
▼ -2.06%,PCYO,Pure Cycle Corporation,8.54,0,8.54,8.54
▼ -1.50%,SRE,Sempra Energy,123.73,81276,123.49,125.415
▼ -0.85%,SJW,SJW Group,64.16,2294,64.16,64.16
▼ -1.48%,SJI,"South Jersey Industries, Inc",23.37,13074,23.32,23.45
▼ -0.60%,SPKE,"Spark Energy, Inc",7.445,6570,7.445,7.445
▼ -1.59%,SR,Spire Inc,62.365,13828,62.36,62.84
▼ -0.15%,SPH,"Suburban Propane Partners, L.P",13.59,14830,13.59,13.595
▼ -1.43%,TERP,"TerraForm Power, Inc",19.95,93462,19.92,20.25
▼ -0.84%,AES,The AES Corporation,15.27,246668,15.235,15.405
▼ -0.87%,SO,The Southern Company,54.375,287811,54.275,54.8
▼ -2.13%,UGI,UGI Corporation,32.13,47263,32.055,32.54
▼ -3.50%,VST,Vistra Energy Corp,18.22,610156,18.22,18.88
▼ -0.73%,WEC,"WEC Energy Group, Inc",92.905,66682,92.905,93.565
▼ -0.65%,XEL,Xcel Energy Inc,67.44,163612,67.315,68.15
